Threshold,"Precision (length, strict)","Precision (length, overlap)","Recall (length, strict)","Recall (length, overlap)",FPR (total length),FPR (unique length),"Precision (boundary, strict)","Precision (boundary, lax)","Recall (boundary, strict)","Recall (boundary, lax)","FPR (boundary, strict)","FPR (boundary, lax)","F1 Score (length, strict)","F1 Score (length, overlap)","F1 Score (boundary, strict)","F1 Score (boundary, lax)"
0.05,0.13449023861171366,0.2501445351330134,0.5285592497868713,0.44646141057817684,0.16971797707639247,0.16971797707639247,0.17342733188720175,0.17342733188720175,0.6815856777493606,0.6815856777493606,0.020242244013342327,0.02024199391972395,0.21442158049455304,0.32064004819795056,0.2765000864603147,0.2765000864603147
0.1,0.13449023861171366,0.2501445351330134,0.5285592497868713,0.44646141057817684,0.16971797707639247,0.16971797707639247,0.17342733188720175,0.17342733188720175,0.6815856777493606,0.6815856777493606,0.020242244013342327,0.02024199391972395,0.21442158049455304,0.32064004819795056,0.2765000864603147,0.2765000864603147
0.15000000000000002,0.13528256600480035,0.2515336590255052,0.5285592497868713,0.4449013082763866,0.16650135161252358,0.16650135161252358,0.1744490508400611,0.1744490508400611,0.6815856777493606,0.6815856777493606,0.020155544892304686,0.02015529479868631,0.21542738012508683,0.32137287537282394,0.2777970813064628,0.2777970813064628
0.2,0.14023976475910427,0.2596197148414138,0.5285592497868713,0.4408756676320682,0.148669279796209,0.148669279796209,0.18072834200407148,0.18072834200407148,0.6811594202898551,0.6811594202898551,0.019500299612154815,0.019500049518536438,0.22166607079013229,0.32679734363698953,0.2856632105827672,0.2856632105827672
0.25,0.15177478580171358,0.27632103649726036,0.5285592497868713,0.4127813634584866,0.11561982528190236,0.11561982528190236,0.19424724602203183,0.19424724602203183,0.6764705882352942,0.6764705882352942,0.01831652315183317,0.01831627305821479,0.23583111449220237,0.3310398402470406,0.301825789273488,0.301825789273488
0.3,0.1685270895725565,0.2958925047819463,0.5277067348678602,0.3667514222303902,0.08226337423381332,0.08226337423381332,0.21195208276613123,0.21195208276613123,0.6636828644501279,0.6636828644501279,0.016780281418677725,0.01678003132505935,0.2554684275691292,0.3275333630396979,0.32129591415600495,0.32129591415600495
0.35000000000000003,0.18812785388127853,0.32276456036291745,0.5268542199488491,0.34153801704580383,0.05801550674402643,0.05801550674402643,0.23424657534246576,0.23424657534246576,0.6560102301790282,0.6560102301790282,0.015308063651827,0.015307813558208623,0.2772543741588156,0.33188601600498396,0.3452220726783311,0.3452220726783311
0.4,0.20931022765885152,0.34511980791880653,0.525149190110827,0.3166795834521993,0.044457452907703456,0.044457452907703456,0.2558613659531091,0.2558613659531091,0.6419437340153452,0.6419437340153452,0.013831177470766558,0.013830927377148179,0.29931972789115646,0.3302885993485636,0.36588921282798836,0.36588921282798836
0.45,0.2302731411229135,0.3699663673180962,0.5174765558397272,0.2977275448204638,0.036334821288788004,0.036334821288788004,0.27959028831562976,0.27959028831562976,0.6283034953111679,0.6283034953111679,0.012430319749692968,0.01243006965607459,0.31871882383827776,0.3299391418890292,0.3869782095038068,0.3869782095038068
0.5,0.2539750752041255,0.40103787598015805,0.5038363171355499,0.2765506151590395,0.029553544982190243,0.029553544982190243,0.30726256983240224,0.30726256983240224,0.6095481670929241,0.6095481670929241,0.011115494233341348,0.011115244139722969,0.33771428571428574,0.3273587811915876,0.40857142857142853,0.40857142857142853
