Threshold,"Precision (length, strict)","Precision (length, overlap)","Recall (length, strict)","Recall (length, overlap)",FPR (total length),FPR (unique length),"Precision (boundary, strict)","Precision (boundary, lax)","Recall (boundary, strict)","Recall (boundary, lax)","FPR (boundary, strict)","FPR (boundary, lax)","F1 Score (length, strict)","F1 Score (length, overlap)","F1 Score (boundary, strict)","F1 Score (boundary, lax)"
0.05,0.20483336581563047,0.44222981468292644,0.5011921793037672,0.48011782100187184,0.14944764209906525,0.14944764209906525,0.25930617813291756,0.25930617813291756,0.6344778254649499,0.6344778254649499,0.004094512979075861,0.004094512979075861,0.29081350304371884,0.46039563998012345,0.3681516325401218,0.3681516325401218
0.1,0.20487329434697857,0.44231601932516484,0.5011921793037672,0.48011782100187184,0.1494474357913726,0.1494474357913726,0.25935672514619884,0.25935672514619884,0.6344778254649499,0.6344778254649499,0.004094179468203574,0.004094179468203574,0.29085374290853744,0.4604423517622233,0.3682025736820258,0.3682025736820258
0.15000000000000002,0.20615927814829346,0.44384611407820035,0.5011921793037672,0.4787445495767359,0.14597156378549034,0.14597156378549034,0.2608866222047862,0.2608866222047862,0.6342393896041965,0.6342393896041965,0.004072167750632587,0.004072167750632587,0.29214732453092424,0.4606352878620216,0.3697011813759555,0.3697011813759555
0.2,0.21198063735377168,0.45104235782550967,0.5011921793037672,0.4739127872252857,0.1322341534545501,0.1322341534545501,0.2680516337232755,0.2680516337232755,0.6337625178826896,0.6337625178826896,0.00399112460866668,0.00399112460866668,0.29794472005669737,0.4621948255491098,0.37675407512402553,0.37675407512402553
0.25,0.2255848894612578,0.4681171740870538,0.5011921793037672,0.46119278253094975,0.10433145063809937,0.10433145063809937,0.2832152822494097,0.2832152822494097,0.6292322365283739,0.6292322365283739,0.0038076936289084557,0.0038076936289084557,0.3111308466548253,0.464629181104269,0.39061574896388396,0.39061574896388396
0.3,0.24407803065490014,0.4909545108548883,0.5011921793037672,0.448177081634638,0.07770249151611192,0.07770249151611192,0.3032977241058987,0.3032977241058987,0.6227944682880305,0.6227944682880305,0.0035692333552227637,0.0035692333552227637,0.32828361705450565,0.46859154063174374,0.4079337810401374,0.4079337810401374
0.35000000000000003,0.2642317380352645,0.5119405900102186,0.5002384358607534,0.42816884993967574,0.05792562979033568,0.05792562979033568,0.32443324937027707,0.32443324937027707,0.614210777300906,0.614210777300906,0.003338777342471976,0.003338777342471976,0.3458051755398055,0.46632233301220133,0.4245920553815724,0.4245920553815724
0.4,0.287454998615342,0.5345735830999022,0.4949928469241774,0.4068566851703713,0.04428621561340744,0.04428621561340744,0.349349210744946,0.349349210744946,0.6015736766809728,0.6015736766809728,0.003109321862338051,0.003109321862338051,0.36370007007708477,0.4620519295588105,0.44201121233356694,0.44201121233356694
0.45,0.31111784307785517,0.557766798388268,0.4897472579876013,0.3909903383856316,0.03590702867615036,0.03590702867615036,0.37488639806119356,0.37488639806119356,0.5901287553648069,0.5901287553648069,0.0028905387301173323,0.0028905387301173323,0.3805113004816599,0.4597202398574857,0.45850314931456093,0.45850314931456093
0.5,0.34251700680272107,0.5876005583582364,0.48020982355746306,0.3731329758545664,0.028232176201623684,0.028232176201623684,0.4083333333333333,0.4083333333333333,0.5724845016690511,0.5724845016690511,0.002617726836586009,0.002617726836586009,0.39984117530275953,0.4564286290551172,0.47667262259281323,0.47667262259281323
0.55,0.37333839726547663,0.6149092096470468,0.4687649022412971,0.35640751768763557,0.023409940193462975,0.023409940193462975,0.44113178883402965,0.44113178883402965,0.5538865045302813,0.5538865045302813,0.0023872708238352218,0.0023872708238352218,0.4156448202959831,0.45126014789212093,0.49112050739957713,0.49112050739957713
