Threshold,"Precision (length, strict)","Precision (length, overlap)","Recall (length, strict)","Recall (length, overlap)",FPR (total length),FPR (unique length),"Precision (boundary, strict)","Precision (boundary, lax)","Recall (boundary, strict)","Recall (boundary, lax)","FPR (boundary, strict)","FPR (boundary, lax)","F1 Score (length, strict)","F1 Score (length, overlap)","F1 Score (boundary, strict)","F1 Score (boundary, lax)"
0.05,0.2699796570764313,0.5317210912902753,0.4430138292799237,0.4278253482589263,0.09634548616304621,0.09634548616304621,0.34786399302528337,0.34786399302528337,0.5708154506437768,0.5708154506437768,0.0030069340245457332,0.0030069340245457332,0.33550018057060316,0.4741485178450583,0.4322860238353196,0.4322860238353196
0.1,0.2700581395348837,0.5318756613749528,0.4430138292799237,0.4278253482589263,0.09634527985535354,0.09634527985535354,0.3479651162790698,0.3479651162790698,0.5708154506437768,0.5708154506437768,0.00300593349192887,0.00300593349192887,0.33556077298175907,0.47420996284039546,0.43236409608091025,0.43236409608091025
0.15000000000000002,0.2723541483435942,0.5348707486798633,0.4430138292799237,0.42609713524392706,0.09318299554230969,0.09318299554230969,0.35077689827030195,0.35077689827030195,0.5705770147830234,0.5705770147830234,0.002990258480931349,0.002990258480931349,0.3373275236020334,0.4743278054364997,0.4344589687726943,0.4344589687726943
0.2,0.2834045149481391,0.5474409161412586,0.4430138292799237,0.419139660251806,0.08044081352074599,0.08044081352074599,0.3642464917632703,0.3642464917632703,0.5693848354792561,0.5693848354792561,0.002902211610647401,0.002902211610647401,0.3456744186046512,0.47477510970813447,0.44427906976744186,0.44427906976744186
0.25,0.30556470200856106,0.5726747976268856,0.44253695755841677,0.4021126673671239,0.05943538948519835,0.05943538948519835,0.38903523213697727,0.38903523213697727,0.5634239389604196,0.5634239389604196,0.002731120533163821,0.002731120533163821,0.36151149201402416,0.47247179242111004,0.4602649006622517,0.4602649006622517
0.3,0.3342981186685962,0.5997719140586757,0.4406294706723891,0.3785798410936222,0.04012973452945032,0.04012973452945032,0.4180535455861071,0.4180535455861071,0.5510252742012398,0.5510252742012398,0.0025353496511309522,0.0025353496511309522,0.38016868957004735,0.4641716125534111,0.4754165809504217,0.4754165809504217
0.35000000000000003,0.36,0.6281972753269094,0.43776824034334766,0.36084392912823227,0.028790651125645716,0.028790651125645716,0.4429411764705882,0.4429411764705882,0.5386266094420601,0.5386266094420601,0.0023802670955171802,0.0023802670955171802,0.39509360877985794,0.458385701375282,0.48612007746933505,0.48612007746933505
0.4,0.3876068376068376,0.6565096222105624,0.4325226514067716,0.3444183345389922,0.020530297419358964,0.020530297419358964,0.46987179487179487,0.46987179487179487,0.5243204577968527,0.5243204577968527,0.0022188478333299427,0.0022188478333299427,0.40883479828713093,0.451808642501853,0.495605138607167,0.495605138607167
0.45,0.4151386929948284,0.6863710791519666,0.4210777300906056,0.327560289303454,0.015783363719018,0.015783363719018,0.501880582980724,0.501880582980724,0.5090605627086314,0.5090605627086314,0.0020701019842896367,0.0020701019842896367,0.41808712121212116,0.44347756909628955,0.5054450757575758,0.5054450757575758
0.5,0.44761410788381745,0.7222251239056838,0.41154029566046735,0.3144326803807162,0.012396410328670848,0.012396410328670848,0.5383817427385892,0.5383817427385892,0.4949928469241774,0.4949928469241774,0.0019086827221023992,0.0019086827221023992,0.4288198757763975,0.4381217806087533,0.5157763975155278,0.5157763975155278
0.55,0.47679083094555874,0.7489199569177085,0.39675727229375296,0.29612093800909656,0.009821484016620974,0.009821484016620974,0.5707736389684813,0.5707736389684813,0.474964234620887,0.474964234620887,0.0017722767753367377,0.0017722767753367377,0.433107756376887,0.4244252664422992,0.5184799583550234,0.5184799583550234
0.6000000000000001,0.5161917098445595,0.7820465196379596,0.380066762041011,0.2753170849800385,0.0074772097049614315,0.0074772097049614315,0.6136658031088082,0.6136658031088082,0.45183595612780164,0.45183595612780164,0.0016085229370434862,0.0016085229370434862,0.4377918154353199,0.40725965441811185,0.5204614117000824,0.5204614117000824
0.6500000000000001,0.5405797101449276,0.8053738588290534,0.3557463042441583,0.2553279901609214,0.005942074163901971,0.005942074163901971,0.6416666666666667,0.6416666666666667,0.4222699093943729,0.4222699093943729,0.0014614446423646189,0.0014614446423646189,0.42910555076215123,0.38773287498042514,0.5093471383376473,0.5093471383376473
0.7000000000000001,0.5701168614357263,0.8290370427818325,0.3257033857892227,0.22878501841622587,0.004549290930775723,0.004549290930775723,0.6707011686143572,0.6707011686143572,0.38316642823080593,0.38316642823080593,0.001287685477902737,0.001287685477902737,0.4145675265553869,0.358607108053237,0.48770864946889225,0.48770864946889225
0.7500000000000001,0.609375,0.869217787789153,0.29756795422031473,0.20687932384175872,0.0029425666203643434,0.0029425666203643434,0.7119140625,0.7119140625,0.34763948497854075,0.34763948497854075,0.0011289343026938006,0.0011289343026938006,0.399871835950016,0.3342136806528786,0.4671579621916052,0.4671579621916052
0.8,0.6389548693586699,0.8946194510003727,0.2565569861707201,0.17519957278818182,0.0019652870802489473,0.0019652870802489473,0.7416864608076009,0.7416864608076009,0.2978063900810682,0.2978063900810682,0.0009405006598512608,0.0009405006598512608,0.366110922082341,0.29301581321335984,0.4249744811160258,0.4249744811160258
0.8500000000000001,0.6794682422451994,0.9122271648660415,0.21936099189318073,0.14179305587867733,0.0013178935406918198,0.0013178935406918198,0.7776957163958641,0.7776957163958641,0.2510729613733906,0.2510729613733906,0.0007794149085363108,0.0007794149085363108,0.33165104542177365,0.24543642487334344,0.3795962509012257,0.3795962509012257
0.9000000000000001,0.7080152671755725,0.9252539809906389,0.17691940867906533,0.11100736445838186,0.0008468930783562806,0.0008468930783562806,0.8053435114503816,0.8053435114503816,0.201239866475918,0.201239866475918,0.0006326701247297311,0.0006326701247297311,0.28309805417779477,0.19823185789081318,0.3220144982830981,0.3220144982830981
0.9500000000000001,0.7359413202933985,0.9452029385039485,0.1435383881735813,0.08748964655810718,0.0005015340008487499,0.0005015340008487499,0.8325183374083129,0.8325183374083129,0.16237482117310442,0.16237482117310442,0.0005186094064073441,0.0005186094064073441,0.2402234636871508,0.16015505913683986,0.2717478052673583,0.2717478052673583
